2586362,1SDA072762R1
2586153,1SDA071452R1
2586058,1SDA070844R1
2586285,1SDA072224R1
2586283,1SDA072222R1
2586276,1SDA072212R1
2586361,1SDA072761R1
2586159,1SDA071461R1
2586152,1SDA071451R1
2586071,1SDA070875R1
2586370,1SDA072774R1
2586368,1SDA072772R1
2586367,1SDA072771R1
2586251,1SDA072151R1
2487175,1SDA100736R1
2487198,1SDA100768R1
2487192,1SDA100758R1
2586249,1SDA072145R1
2586065,1SDA070865R1
2586455,1SDA073439R1
2487189,1SDA100755R1
2586243,1SDA072135R1
2586833,
2586040,1SDA070804R1
2586282,1SDA072221R1
2586279,1SDA072214R1
2586275,1SDA072211R1
3734205,2CSF204401R1950
2586466,1SDA073483R1
2487173,1SDA100734R1
3734187,2CSF204201R3950
2586047,1SDA070825R1
2487286,1SDA101367R1
2586053,1SDA070835R1
2586266,1SDA072184R1
2586264,1SDA072182R1
2586260,1SDA072174R1
2487172,1SDA100733R1
2586137,1SDA071414R1
2586257,1SDA072171R1
2586035,1SDA070795R1
2586453,1SDA073437R1
2487183,1SDA100746R1
2586135,1SDA071412R1
2586055,1SDA070841R1
2586258,1SDA072172R1
2586464,1SDA073481R1
2586475,1SDA073519R1
2586143,1SDA071424R1
2586141,1SDA071422R1
2586134,1SDA071411R1
2586263,1SDA072181R1
2487214,1SDA100827R1
2586443,1SDA073399R1
2487196,1SDA100766R1
2586064,1SDA070864R1
2487190,1SDA100756R1
2586070,1SDA070874R1
3734191,2CSF204201R4950
2586068,1SDA070872R1
2586029,1SDA070785R1
2487166,1SDA100724R1
2586062,1SDA070862R1
2586037,1SDA070801R1
2487673,1SDA118008R1
2485625,1SDA066989R1
2586140,1SDA071421R1
2586467,1SDA073484R1
2586061,1SDA070861R1
2586441,1SDA073397R1
2487182,1SDA100745R1
2487188,1SDA100754R1
2586242,1SDA072134R1
2586046,1SDA070824R1
2586067,1SDA070871R1
2487148,1SDA107585R1
2586248,1SDA072144R1
2586246,1SDA072142R1
2487165,1SDA100723R1
2586052,1SDA070834R1
2586451,1SDA073435R1
2586050,1SDA070832R1
2487181,1SDA100744R1
2487171,1SDA100732R1
2586240,1SDA072132R1
2586239,1SDA072131R1
2586044,1SDA070822R1
2586908,1SDA114809R1
2586465,1SDA073482R1
2586043,1SDA070821R1
2586444,1SDA073400R1
2586642,1SDA074131R1
888888,1SDA074103R1
888888,1SDA074105R1
2586644,1SDA074133R1
2487368,1SDA101917R1
2487138,1SDA107572R1
